year,units,value,method_of_travel,breakdown_of_domestic_tourism,transport_type
2017,Million Visits,13.2,Bus or Coach - Regular,Visits,Bus
2013,Million Visits,12.8,Bus or Coach - Regular,Visits,Bus
2019,Million Visits,0.4,Tram,Visits,Rail
2017,Million Visits,0.6,Tram,Visits,Rail
2014,Million Visits,0.4,Tram,Visits,Rail
2013,Million Visits,0.0,Tram,Visits,Rail
2016,Million Visits,0.9,Bicycle,Visits,Other
2016,Million Visits,91.9,Car - own/friends/family,Visits,Car
2018,Million Visits,12.2,Bus or Coach - Regular,Visits,Bus
2018,Million Visits,84.2,Car - own/friends/family,Visits,Car
2013,Million Visits,79.7,Car - own/friends/family,Visits,Car
2016,Million Visits,0.2,Tram,Visits,Rail
2015,Million Visits,0.2,Caravan/Campervan,Visits,Other
